Tiempo exposición(s)	Varianza total(ADU)	Varianza blue(ADU)	Varianza green2(ADU)	Varianza green3(ADU)	Varianza red(ADU)
10	2.4453974480231357	2.4441105860072083	2.4222576424858073	2.3846220102276634	2.4458982827249285
20	2.733874389648924	2.9055502510994833	2.4920212461050553	2.4859847605235648	2.98793360664309
30	3.118671607205241	3.430173892144736	2.6048528740328107	2.569252891198162	3.8023638597378047
40	4.008813886252367	4.026656382207778	2.7966170704409827	2.729569116774216	6.405455786927751
50	4.808261990732959	4.721817872974864	3.016306995199755	3.0363628233060154	8.362638011834635
60	5.720783728046565	5.24363355164216	3.2454803348821604	3.3847817436407768	10.891802785288137
70	6.329212172957446	5.942281465864717	3.5226247019709835	3.6911675537877517	12.02001667847337
80	7.032325568323907	6.6484929739785334	4.008204846992916	4.136336996509289	13.16680630235038
90	8.115937505062838	7.41409110589265	4.476914220910031	5.502748244835908	14.74407190427903
100	8.74987372935066	7.524015638334441	5.079444998536359	6.189040783342613	15.833563771166055
110	9.317489552734354	7.821537767043129	5.580838948038648	6.793378111057627	16.64894052803417
120	9.901728744708741	8.268942154019715	6.021305390279397	7.492669715112612	17.350980188108526
130	10.501688835437312	8.647390423441628	6.535421169304733	8.196397748931647	18.095073052945754
140	11.124019956982114	8.967487161180028	7.004473861037393	9.03901860308267	18.914771574002636
150	11.851038828765057	9.458502215825622	7.401768357995932	10.048777293681765	19.87044045801502
160	12.489664661738628	10.000651753083076	7.9292776884666125	10.619941086564594	20.731485223149715
170	13.255963019435118	10.389235399855087	8.266783681511065	11.847277331350016	21.79123313991558
180	14.14469824417287	10.834618077707534	9.039372716334483	12.936059208805677	22.976358105060395
190	15.291164123802286	11.460115522478464	10.698126925317288	14.129360282660116	24.012274325712205
200	15.671130424231526	11.845385122874259	9.72218951853846	15.093795828011592	25.105798655323287
210	16.5888861150565	12.426675948015859	10.375360765715195	16.144758294826495	26.427697350152307
220	17.823356119280664	13.066261034695776	11.101610246323862	17.903857106684455	27.932665696815285
230	19.00000544533452	13.81213600319462	13.589783854447688	18.414412162361266	28.795945835998683
240	19.647481074745038	13.849071726780638	11.905278934184446	19.8228545794725	31.47700236797723
250	20.922573251511107	14.315009018861634	14.516778578947271	21.017295114296292	32.20260751089052
260	21.28689387897234	15.097606159368516	12.941468273947608	22.243082576660168	33.14686437039692
270	22.37432687202839	15.596207838813074	13.722575782318001	24.051668445430572	34.28576581740671
280	23.59158567376744	16.111214702546924	16.92315038218407	24.48808222710994	34.8922199658953
290	24.65655851019349	16.92133903973976	17.925379341449563	26.097263278103913	35.6464678528567
300	24.931852031430253	17.525432554907177	15.503759006480884	27.782523409189164	36.78991985534466
310	26.035941736864938	18.201872765584664	16.514332943861973	29.332787089749537	37.93129903787001
320	27.97087834656671	18.970198216980247	20.783299250660516	30.88829315352126	38.76911637642143
330	29.20082865458711	19.645733774386667	21.94945133392134	32.649186537777865	40.11409706693607
340	30.086656196391278	20.2904240464764	22.50757948142687	33.952337809053105	41.065974665661564
350	32.40688042481365	20.757061747611434	23.473862038840245	40.56154279743959	42.1942614242701
360	27.362131425392235	18.600733927236384	16.251131762137668	32.7552432999626	39.101004609870095
370	29.9919266800607	20.547640850842733	18.532788888910773	36.38260860366589	41.69010310191682
380	37.41445649085003	26.598522415911663	24.82642887945028	44.33666456078736	50.63876029409501
390	40.9002796681835	27.813572059779382	31.670583276067852	48.258884467858664	52.37916899017277
400	43.08510422864864	29.71316869739533	33.81034827106279	50.94027289998128	54.26641816470055
410	44.439433684092016	30.556255307580397	34.92819046036414	53.04316470948396	55.437592459409466
420	45.45196529556787	30.986711881646578	35.94577035990845	54.9568685328797	56.00538529122981
430	46.27357646873886	31.803463473653505	36.04819460559478	56.005048795502816	57.150431068210544
440	47.66536844967385	32.61060358040804	36.291856316752046	58.40590575044411	59.05014700100288
450	49.27034206706163	33.83030820957469	37.66551126182818	61.06047398133971	60.06847217650284
460	50.75803726810131	34.70321124174156	38.482162112658266	63.21170399450154	62.05351180797868
470	51.95245028007543	36.01860437266607	39.50492626584978	65.07894460676471	62.52412992638001
480	53.55868814840861	36.736959250092	39.96154442136808	67.92854418614637	64.57306450735929
490	53.97182188817152	37.34571656022465	39.636808113058024	68.34038796970242	65.34195186434474
500	55.51145533934641	37.30939366099263	41.13210037418168	71.17133290810854	67.03463617661797
510	56.570395855695644	38.40752264907201	41.79658809166702	72.53133454480931	67.91437202459558
520	57.980608528141104	39.73342242197422	42.07571561513172	75.46607700057696	68.79829708908997
530	59.68080544506576	40.51712664763525	44.349862639111294	77.36494366152932	70.38918168465815
540	61.9839805915731	41.43419460646686	49.56387407988536	78.30100452669045	72.27984094551572
550	58.9004258755122	39.92635098003483	42.26224573268007	78.08781960975737	68.84727648915971
560	62.80507127635686	42.016807053215764	48.51023623282838	80.61594541587262	73.36796275376977
570	65.87470464203916	43.535881070734035	51.32116704391209	86.13272436756426	75.47373298109672
580	67.37787681893643	45.98197689026518	50.77878640703949	88.52829491584713	77.04385456903076
590	68.46793978644936	46.23696530504179	52.00250713664225	89.89039581667299	78.25910793581357
600	69.07865233858199	46.331645200595126	53.169616915504164	90.37526625801449	78.79113301578437
580	67.37787681893643	45.98197689026518	50.77878640703949	88.52829491584713	77.04385456903076
590	68.46793978644936	46.23696530504179	52.00250713664225	89.89039581667299	78.25910793581357
600	69.07865233858199	46.331645200595126	53.169616915504164	90.37526625801449	78.79113301578437
