Tiempo exposición (s)	Varianza total(ADU)	Varianza blue(ADU)	Varianza green2(ADU)	Varianza green3(ADU)	Varianza red(ADU)
00	2.225518711199442	2.140785094813168	2.25824751298536	2.2603687939911192	2.139140568205326
10	2.321848944773277	2.297265836934505	2.336150789055395	2.3126210382511765	2.2781595970281616
20	2.5063962541082696	2.604921895190639	2.406620560507201	2.4120018906735146	2.542055766399111
30	2.7378460308937935	2.9365105284329576	2.442182588661876	2.512659898959402	2.993952265216718
40	3.0099561859231487	3.3405873491568436	2.507977021818026	2.659922209086735	3.4536089243428743
50	3.320402141110227	3.77957477010911	2.570845149186269	2.763081805940624	4.074860410934552
60	3.740429598153562	4.229060054510396	2.7123314485193584	2.9634474263820723	4.949454598468687
70	4.124025940966426	4.46413467090274	2.8050483646524267	3.213716014858513	5.882293152039991
80	4.527708549975389	4.89782387095474	2.8667727872157576	3.4880637079411505	6.708313799837221
90	5.713894502580837	5.29322258021742	3.0805355687013956	3.8355956604096275	10.465797056673075
110	6.654279594128082	6.059331844323936	3.4106152692082827	4.391880921412427	12.513891748115928
120	7.47228085900613	6.775612871298622	3.7048627087239874	5.354128463387426	13.593479249367787
130	7.943337979948042	7.0907458312635345	3.936070408939548	6.068044505406377	14.15899743683699
140	8.30371502385194	7.2223978501307196	4.173812434152601	6.418538804837066	14.824140742348169
150	8.676318695460113	7.144445991138461	4.64551857185126	6.9603737769072564	15.350363018147455
160	8.95071560302294	7.37551073835725	4.541325318572443	7.372929266609466	15.845639790777792
170	9.491768166143123	7.681056022773503	5.334408084697539	8.016369507336178	16.229965291548847
180	9.655493672969245	7.6020612784102735	5.103924944673001	8.52772614727955	16.621364061502284
190	10.596679575973946	7.815249546046786	5.35184250607366	11.324079831371291	17.057920027301066
200	10.358392410006777	7.962941935270733	5.557966084282943	9.71136289786399	17.308877301990133
210	10.771151028781428	8.214809166170394	5.997230384067862	10.225714540238494	17.690582105770044
220	11.593434498370788	8.64773848019899	6.320556324332293	11.885671277816453	18.520754497610998
230	11.439952515133399	8.585367635816416	6.09774188036107	11.461186963007394	18.53440244779088
240	11.897267575031414	8.53483833453778	6.430618445037427	12.18889322433325	19.311577595613645
250	12.267602095397951	8.86096816489468	6.513684828570737	12.852839587803881	19.630850384644262
260	12.662172867296368	9.110618253506674	7.083889872386968	13.288881281300911	19.900058642560072
270	12.93800641537813	9.05833633216471	6.7992355018557324	14.221566267236406	20.340551074830277
280	13.402037780025001	9.43179179677032	7.173873314854734	14.924471594670543	20.66992598013711
290	13.787583549866723	9.556377306551303	7.21006210287354	15.554837191116325	21.34174549654141
300	14.71813063929423	10.019183977517288	7.450758876538112	17.098975142510156	22.390756126350325
310	15.392324007278532	10.447117252387535	8.389780588737649	17.876581733903183	22.900859629843943
320	15.490421367821689	10.458261318867073	7.630983858717921	18.399908189704124	23.336748143746693
330	16.405026133829963	11.10068106145155	7.829323154318229	19.728602927462777	24.791210564656875
340	16.763260364898	        11.17947086867653	8.455935008324767	20.476124446427665	24.66303731692074
350	17.14441496993202	11.329076506293909	8.408525490945914	21.26318022661237	25.21799542672278
360	17.637210245071834	11.235709023173122	8.49806309298086	22.27204271242022	26.02544138559452
360	17.637210245071834	11.235709023173122	8.49806309298086	22.27204271242022	26.02544138559452
360	17.637210245071834	11.235709023173122	8.49806309298086	22.27204271242022	26.02544138559452
370	18.299149563606775	11.855200473324855	8.875015917109144	23.121670705019785	26.776639096483475
380	18.88087886345527	12.202091929730068	8.961495864639128	24.358007780747275	27.28406571440305
390	19.742056852806435	12.700290442578554	10.490836500606125	25.15181085969284	27.812333958816335
400	20.126041209250506	12.82551459778054	9.496794896645499	26.364573059845007	28.897118435436532
370	18.299149563606775	11.855200473324855	8.875015917109144	23.121670705019785	26.776639096483475
410	20.672804992066762	13.245063315493457	9.797437833875579	27.096081611180185	29.52425984388097
420	21.294854755851425	13.398547701071216	10.201891225275194	28.39749522741482	29.92299157016545
430	22.350433062813103	14.70608702709832	10.679493264219577	29.72811739997578	30.948929803580608
440	23.030152823929313	14.428044950761103	11.984306660264078	30.6084528392955	31.700371544252413
450	22.996029974792545	14.042535639443695	10.558810809221566	31.847897770713452	32.001651526070525
460	24.104278385555308	14.589529800230933	12.55225639292435	32.841878106609656	32.75060584824896
470	24.59497015985598	15.14568291181957	11.596136738904582	34.33369639366859	33.51403204605436
480	25.56991083930225	15.316282365170132	11.87482606427009	36.02133523380949	34.909371036698914
490	26.288752762426483	16.26362305000155	12.019497959777752	37.13966693305316	35.427873803427204
