Tiempo exposición(s)	Varianza total(ADU)	Varianza blue(ADU)	Varianza green2(ADU)	Varianza green3(ADU)	Varianza red(ADU)
3	2.413486625913495	2.340497442116796	2.4113804313062577	2.3127004440793573	2.5832170804027244
22	6.0884944263234795	3.276712597137325	10.495691237326366	3.3704970174522826	7.152488554044225
31	8.051372558204246	4.242790084071636	13.86631045925794	4.547802270949474	9.463674639836043
43	10.594499290192465	6.749736224350242	16.008946811394548	7.455614007509085	11.934923047636657
53	12.969351027950077	10.17329050742762	17.878320286337992	9.745245504511942	13.765718415737254
61	15.263935773124388	13.498982399571986	19.938938473400516	11.957699779933911	15.29126483202772
70	17.302815722838986	15.488427966473393	22.13964840086377	14.260473014284551	16.87247159435318
90	21.82519922597508	20.533270796908045	25.041403513661653	20.457615827761373	20.44899557315812
100	18.170628047970816	15.855089788728087	22.11249753677309	16.235676173699062	17.773007761106616
109	26.3414030289518	25.433521669942742	28.483660134052343	25.89922770813732	24.488051987502153
118	28.867913435798215	28.000245894510723	30.667581683008564	28.901672702309344	26.751521056939186
126	31.335289074121853	32.677549272556455	31.95832148208557	31.001537775410945	28.45900575539674
130	31.786939992178098	30.84209222835332	33.41759940260428	32.44216986534944	29.156185486122936
133	32.30471732036395	31.31022506079551	33.181398739990506	32.96985046855655	30.449002160223554
150	27.908123072646536	25.886639990717505	29.061235111243814	28.84337100551729	26.23130900788274
157	39.261735941992825	36.28614355818957	38.23399858104307	44.713135593790135	35.78863512763873
172	42.64713909466414	40.376390127874124	40.481805129115145	48.8322809082953	38.62889004826291
175	43.380413057779556	41.19244049512461	41.32524045930052	49.570892939266756	39.10516051919763
200	41.19632277496643	39.91381161553464	38.02507143112693	46.87367529685449	37.18694406708994
215	54.25645046184207	49.61634850898147	50.293028037882536	64.36561661391093	49.345470202047586
230	58.2161952934926	52.601438247829755	52.88631785194648	69.38106821344778	54.19576547824507
250	54.25330551401771	46.91990364325543	48.88659878816541	65.36219091916604	51.6699037043387
270	70.43693954797892	61.603745040401364	64.5809649200623	84.05305618865	66.5655819026384
286	76.04205014038872	66.47259890252758	69.95945898013574	90.4512639813392	71.75361329127983
294	77.70081476491261	65.94027620165028	72.41483578981064	93.17973435442552	73.4625699019749
300	70.0357322866223	59.625720851747396	61.26741441177693	85.95198837922582	67.58622990640616
311	83.64454331629597	72.43374886878252	74.91699274793696	101.14112588838954	79.8202735173246
323	89.35246930421671	75.65136364267195	83.65615693917158	106.17575749243564	85.06349608059523
333	90.76028856567503	76.92066336336447	84.54842104005587	108.64855887568285	85.73101057298206
339	93.66897359029221	80.16389735541674	83.38188872984679	113.84293005889235	89.84369650794642
350	89.89371393374792	74.28056242704086	82.0418174281992	109.69664742563323	85.93138178376402
368	109.11970124235596	89.96954557018705	101.68618067062718	132.03895890911681	103.89958883522253
382	116.66595154596253	94.47479460755328	111.48044307018039	139.63366056546008	111.64864955102064
392	123.86127643586457	99.68887913083098	117.38796767671774	151.0043852044365	117.51225545589283
400	111.86619790535057	90.33105298589577	105.760004973482	134.26969694641838	107.40817987171138
450	134.09478607570705	104.2468073883366	121.61517362465221	165.0717171011759	133.28547983508423
500	163.37611903566713	131.10141355276747	146.25061899007233	202.18083878572276	158.86993889650975
550	190.07508522534	147.30916416790933	166.9170667305575	236.60093977415846	191.340913925041
600	220.40708313245761	168.37156137275966	194.80099901918794	277.8181208251727	218.98850185791443
