Tiempo exposición(s)	Varianza total(ADU)	Varianza blue(ADU)	Varianza green2(ADU)	Varianza green3(ADU)	Varianza red(ADU)
0	2.260361719330595	2.2775779558517697	2.2439622796817837	2.2448808438049457	2.270848103179149
22	2.3817175586350476	2.35037001355026	2.2768200198313497	2.4279271386230974	2.415134477574818
31	2.4572055849867147	2.349745956458556	2.284427786759262	2.6048799433815857	2.5079107488994348
43	3.116696605857269	2.7813164609253516	2.769760637362003	3.472325590197321	3.217803524857074
53	3.26928220733138	2.8392353127068186	2.8173216897286233	3.733425436792721	3.386122417627818
61	3.370807876117112	2.8524857304822335	2.8258394082789584	3.9371983528527106	3.516950059026711
70	3.494104593592495	2.85600061967928	2.821739674447409	4.197993885863826	3.664178646751936
90	4.208708992266008	3.060106943023798	3.0513490429112005	5.404137996256733	4.527939334313733
99	4.429765230614589	3.1416395699302826	3.1343213228170232	5.776107657677513	4.7606486467119975
104	4.561067577299199	3.19753659156607	3.181803333887739	5.987557270772659	4.904274427433934
109	4.6782727650762554	3.2370526582905117	3.219313273001407	6.20811870307002	5.025759131242418
118	4.901013765240543	3.28632664909434	3.273083597385501	6.641400520111646	5.292426128437275
125	4.845471491805334	3.018380175793828	3.0276764548249093	6.787035989268642	5.342949510927729
126	5.093105092699208	3.3101315539835845	3.295737929439036	7.054915073280587	5.516621418571998
126	5.093105092699208	3.3101315539835845	3.295737929439036	7.054915073280587	5.516621418571998
129	5.170572578458536	3.316274142101323	3.300839177699685	7.2498484273637	5.607386465710905
130	5.200416923759809	3.3199325840821143	3.3062718367762858	7.2869302684753015	5.649482660243913
133	5.27017021817155	3.3257949410338115	3.3107326156699495	7.453421934228244	5.739535471825446
157	6.353321275468082	3.6128419633177145	3.5886095896847374	9.228071101008373	7.02799080907467
172	6.872622772584904	3.745095390733695	3.718732072061748	10.213433423869915	7.616704451312091
173	6.897729593980864	3.7366074148133936	3.7218893319688338	10.303909650763057	7.634790400120336
175	6.2611391079701795	3.308174432898447	3.2888346443160006	9.616554628424634	7.0033448085748615
215	8.78687682301941	4.112504721077549	4.043928713660299	13.780992992270889	9.901802638419314
217	8.899922504869295	4.146639006546285	4.070280717117735	13.98999580617732	10.027797480241684
218	8.952451469773969	4.171040462622394	4.082243123539056	14.076355465000002	10.077926448654026
225	8.523106804474118	3.800299284513696	3.7513209424548166	13.768581609969795	9.657171868548563
230	9.544492165714514	4.3326165851348435	4.228561005614798	15.15453378805426	10.778360398921343
234	9.735841742796236	4.389569132661293	4.2698818282283115	15.530164935333438	10.983649585756986
267	11.658665470866998	4.851876707399563	4.569804871071212	19.19102510117246	13.276290214356951
270	11.823606528633318	4.890570884001843	4.617411195489169	19.490746614628094	13.488172219844671
275	11.225201992742244	4.386687530394974	4.249079813147994	18.923925747805058	12.817209723980431
283	12.653507751302826	5.1443400977874445	4.8231690330519115	21.037141698480205	14.408433667512087
286	12.889510807223301	5.237851009621588	4.889225901204267	21.33665215572046	14.710063664933381
288	12.966745920622403	5.222842662035741	4.894458653158205	21.49031762231061	14.796533337883952
294	13.390638950832821	5.340356449027621	5.014487896013598	22.256735105683333	15.314917154176921
298	13.621861255657524	5.433857072284298	5.097579515435781	22.690717913472287	15.574182083613032
308	14.280884114484389	5.606896513117289	5.185419460395628	24.011089768138824	16.32505587964027
311	14.488854081740891	5.687320155545161	5.240902863769228	24.375354063035473	16.586800480125223
316	15.000190792763368	5.764853295319063	5.296696713736069	25.281323821074952	17.24396736715966
323	15.504838532171258	5.938386472773378	5.353118118885585	26.18623216701975	17.88655496630633
325	14.54298794148421	5.2067054523821845	4.883345563305192	25.067496860017854	16.734204572840927
333	16.039602844445422	5.969836344639008	5.394509936977779	27.28243647853484	18.55161675205076
337	16.449201818602546	6.162140611218276	5.550392106518063	28.01739923402318	18.959464748188854
339	16.722319130548613	6.313674141594186	5.638090073641835	28.44283388097348	19.285536478082687
351	18.05966086650443	6.895376288582541	6.159281941760463	30.63033419642812	20.757066411330023
353	18.299061948566596	7.087152264831934	6.256768848869792	30.97747569799729	20.965755577805865
368	19.463927203584927	7.221893535159409	6.333674514809573	33.288384933741625	22.41176240655375
373	19.796172040019275	7.341935933914452	6.294388485517537	33.976882779000846	22.87419170617698
375	18.753682826830488	6.445563014081317	5.714803204844465	32.717784720500404	21.800727358053425
382	20.804856543725325	7.738759581001208	6.729839324926127	35.645028150645295	23.989423537092893
391	21.75272221546078	8.114115898588384	6.915678035588029	37.4700869781412	25.043616252144123
392	21.837232441132826	8.131130694126469	6.911569308097913	37.53474955312667	25.286388173086852
394	22.08062652952341	8.246595079613494	7.010456588737045	37.92127259396791	25.518635784490755
396	22.129856690092485	8.141038930022836	7.027539645558552	38.089224068659334	25.593421590598457
399	22.299025802633306	8.267223704695713	6.969194671781473	38.469583463532786	25.701416203378677
400	21.18961508333283	7.236401692438298	6.336591091490141	37.28524199244726	24.61312982681364
425	23.57799898364851	7.952269113964591	6.766814166073093	41.66444136570174	27.43995168320986
450	26.471398339302656	8.89779157463066	7.379756995422187	47.18821457284771	30.841673383191946
475	29.302899777172893	9.806114769563468	7.964405500265296	52.46472647679107	34.126118804979356
500	32.65355087355372	11.12630993885856	8.840775609866037	58.393708068618416	37.941139052776066
525	35.92331611021768	12.077767365277449	9.413225653011363	64.64994729148844	41.96014175134523
550	39.68612324306307	13.261092020326478	10.404283595237791	71.73441061767268	46.30692994354644
575	43.37171981592835	14.32334486044584	11.042727955904134	79.08495947027876	50.825193484026535
600	47.63507486883862	16.10577772363347	11.953918281672054	86.4467496266195	55.88405188923672
