Tiempo exposición(s)	Varianza total(ADU)	Varianza blue(ADU)	Varianza green2(ADU)	Varianza green3(ADU)	Varianza red(ADU)
0	2.2698644072924288	2.2870674751622175	2.2534070638039316	2.254544937828076	2.2802514014605975
22	2.413964532182908	2.3785712897938898	2.3053554019898543	2.46501768885111	2.448488323010506
31	2.4998265890671196	2.3872606019071725	2.3220720387805445	2.653321792549488	2.5529885876195877
43	3.1837132017281764	2.837071742638535	2.830152212603027	3.5490876489012395	3.2930428325801158
53	3.366160474007307	2.911936708706292	2.8964974549112346	3.8455804030022653	3.502193757601162
61	3.52037595706035	2.9563474185592145	2.95505934726984	4.112897464669074	3.709178401836758
70	3.7176253000871293	3.009790165525753	3.025855388058359	4.455251899883119	3.96986715528304
90	4.673244987746888	3.37648273441053	3.4690632252859324	5.99610352037981	5.090224815266488
99	5.0391071962194	3.5605544426527254	3.6647039705859648	6.514245531505211	5.53058162468833
104	5.271465140382813	3.6648631768533257	3.8498728704940874	6.829873290097888	5.819486591032438
109	5.463368931558334	3.7837939161280842	3.9152799041876536	7.142725330148456	6.0170938278444535
118	5.9367203266049176	3.9769093616713445	4.304213809621732	7.914228330337471	6.503318295913029
125	5.361856669292183	3.33926249863338	3.432370365456237	7.430200904353481	6.01311000030099
126	6.28152381312777	4.150435533223144	4.3906784483010695	8.503799631245924	6.939817828476606
129	6.426088681483521	4.1906934097528925	4.38294303078919	8.815604375340527	7.149844619862652
130	6.479096477126484	4.216540544712141	4.504655313828452	8.815218118410762	7.18789379171308
133	6.616272177016572	4.237476292788222	4.455127482069617	9.103949818510145	7.546636585569256
157	8.273786826768495	4.837501329059817	5.367729815458618	11.735357253790527	9.38908186220477
172	9.062949460026173	5.273565800167761	5.565952712014392	12.982291325531243	10.347939428584962
173	9.127093665426665	5.269408826623086	5.652085037337982	13.09671407690816	10.400744000587823
175	7.743645476110636	4.258380239501604	4.393586108546497	11.520337135919249	9.018905384081116
215	12.461775701628117	6.815133398616886	7.344938446003519	18.072253351467683	14.402252103876418
217	12.709353913854148	6.9574607881305415	7.269234980694393	18.5997985257578	14.74005077273364
218	12.710243438828796	6.895849139817067	7.333656891661949	18.500274567990267	14.82863937607897
225	11.316038242836363	5.770342513564573	5.956918260633486	17.142199278174452	13.272566638264845
230	13.781034293367757	7.4286571435052835	7.882701637289779	20.188957749906237	16.110167659125445
234	14.144126054035176	7.666389470956264	8.06191997485968	20.745627264001126	16.46701637068338
267	18.026855780957366	9.843505807528738	10.076826761002387	26.423841583444062	21.075478823348217
270	18.26881017912817	9.979104446441568	10.307086374176844	26.668342630379843	21.40514471497035
275	15.96161020877211	7.8150236540216245	8.239036172157464	24.542099845884234	18.766226937013357
283	19.970261338620883	10.787529680949962	11.348750993145	29.77526620289183	22.843782897656205
286	20.27051697484049	10.971797814302647	11.559810559893753	29.53396969447345	23.669836410057993
288	20.41672578240548	10.913038087652609	11.864587057200378	30.047332712767993	23.502102245064286
294	21.185234982408335	11.459997239029905	12.110834686809646	30.876800766607484	24.6638713783922
298	21.750700588665502	12.159068849473568	11.996490850072645	31.899192529839333	25.208944969667808
308	22.846061916651294	12.831337170153768	12.564422385350593	33.7197190596703	26.131423022000185
311	23.4387238635834	12.775326454381386	12.90309377956678	34.713166180024466	27.349470308266703
316	24.411764994311294	13.50623876001446	13.658877025957242	36.17053430996523	27.856777481312637
323	25.40118565595149	14.042749370824042	13.763733821451842	37.39757867464925	29.695583827269232
325	22.230754073088978	10.669775709048283	11.223545786639775	34.238004269992466	26.750721549575562
333	26.105942987749597	14.160671540365577	13.915441268731541	38.906636584289885	30.413828489525397
337	27.03032348844273	14.552326634871859	14.707542711388308	40.127864019192494	31.592457517519847
339	27.53769148935195	15.162051472197389	14.793254757499076	41.14311716573097	31.7335433899502
351	30.098131291493388	16.6281871401217	16.73805985740814	44.50378095410462	34.675762393660065
353	30.567127537805167	17.223523865387108	17.136811661884035	44.71034388803582	35.19920197595362
368	32.824732016437956	17.822890782503528	17.94562088117724	49.31453605671711	37.539016183558445
373	33.314551894680605	18.16172566959497	17.55027767084774	49.97376815814211	38.75312204031578
375	30.400112953372126	15.723963001154184	14.893178537028504	46.54522865131889	35.95406552022288
382	34.954914211342555	19.30088873935703	19.016708987497875	51.72513995501168	40.52084358137173
391	36.70316308480033	20.139599972323452	19.61537345259535	55.09258810204627	42.311417229486985
392	37.40382573697728	20.873845928243846	20.228583327079715	56.04423916859738	42.81726138483739
394	37.62548535437227	20.87677704510054	20.162514232139188	55.637571862998804	44.0229504220159
396	37.282552170302	20.31336062420484	20.264490635387613	55.48409097404498	43.28685178728226
399	37.45079991498712	21.04054954157075	19.89559142752334	55.83694504045727	42.95922971370614
400	34.990563967458854	18.247502871896277	17.851259301336615	53.43918007694626	40.852895940631505
450	44.11554365207599	23.14547692722612	21.47821747095162	67.63588045281149	52.279001944456795
475	48.89803431857818	25.8859580265941	23.276889522529906	75.33746365915299	57.66512257055863
500	54.81179789397987	29.65240901452592	25.783648814796344	84.99828695269163	63.85128244611391
525	59.65728894417327	31.287117483129038	27.482319247550766	94.12960995508669	69.56991414703273
575	72.44283124005733	36.94813095849384	33.519962034860804	114.76444777225583	85.4303115446965
600	79.39680213570851	42.123629131985496	35.65544227643899	125.82847873497805	92.71420727396828
