Tiempo exposición(s)	Varianza total(ADU)	Varianza blue(ADU)	Varianza green2(ADU)	Varianza green3(ADU)	Varianza red(ADU)
0	2.2743414535619504	2.2917127800008243	2.2579003270604083	2.2589460692768437	2.2846483075731325
3	2.3179273300508965	2.333806266319303	2.2939017093924807	2.3032364923383297	2.334616845154778
3	2.3179273300508965	2.333806266319303	2.2939017093924807	2.3032364923383297	2.334616845154778
22	2.527877025860082	2.484828696817951	2.468978172284401	2.5663219394922083	2.5369260744081323
31	2.834746323889407	2.54953011174676	2.525893608420639	2.8431290740363537	2.788739707514529
31	2.6980794970434103	2.54953011174676	2.525893608420639	2.8431290740363537	2.788739707514529
43	3.7014827340924357	2.54953011174676	2.525893608420639	2.8431290740363537	2.788739707514529
43	3.597511068932394	3.170557357263319	3.224227471100238	4.00880751155988	3.757566926822418
53	4.09878415751128	3.4013378380950043	3.5952240812832867	4.622093679959289	4.3338235040377935
53	4.063530264206938	3.4013378380950043	3.5952240812832867	4.622093679959289	4.3338235040377935
61	4.637389040664642	3.7450058325849724	4.102411046252162	5.363842994735651	4.981473139751775
70	5.31276656860657	4.328226622902476	4.580196657486643	6.143782293759454	5.746130386568949
90	7.339247620394929	5.58196265088999	6.047231834084129	8.905696489411687	8.008221612838511
99	8.28722466901601	6.256391047009548	6.881841768071114	10.050943655308426	9.093214106775433
104	8.926654352349228	6.61175614671701	7.4369321052022475	10.736696188092969	9.501982738535283
109	9.292852963302833	7.03722640900848	7.387450435660192	11.288173089521072	10.410621785176392
118	10.486756178165049	7.503426808923192	9.235013982560815	12.532289687767916	11.553728802052925
125	8.191177403313903	5.814738321868241	6.287833281608662	10.4136888013617	8.973197792094393
126	11.723835163598064	8.666038301521374	9.7326681836286	14.322039851451619	12.923479661421613
129	11.859856437360182	9.326404689917876	10.265279113269543	15.162332618464985	13.690933159363732
130	12.57835524809715	9.4652895826494	10.55953491839828	15.176483421533241	13.81712938269574
133	12.830224385573786	9.386022424017993	10.536868215297908	15.587293427337462	14.49743865947265
157	16.1245634210675	11.265639091270648	12.701640057045008	20.235575985327387	18.265027551464424
172	18.11950967732558	12.925806391048262	14.026898932949026	22.61950998399175	20.630267992775156
173	18.30314689357974	12.79734222421965	14.254399432707887	23.036561911501597	20.843037715854408
175	13.68777628518948	9.212711728604281	10.174976941437151	17.946243783412623	15.470597989954497
215	24.690075490147596	17.568229798202935	18.836176363920554	30.965037538559823	27.97799245520603
217	25.284808184534178	17.93723068100409	18.925874391806897	32.09571576158072	28.691343781725877
218	25.689666732419013	18.082066140229518	19.39159293625436	32.12861185044388	29.639528756824564
225	20.59964837569296	14.055165879429648	14.620990245972758	26.924121527946273	23.532815186740965
