# Pantalla iluminando en blanco, ganancia 1, tiempo de integración 30s, temperatura 19°C, distintas intensidades de la pantalla
# esperanza	varianza	color
1.297591100903145389e+03	6.343556727784617806e+02	1.000000000000000000e+00
2.199111818099242100e+03	1.440930458406856360e+03	1.000000000000000000e+00
4.015663984156026345e+03	1.390455427939278161e+04	1.000000000000000000e+00
1.394421254411917289e+03	7.096660909936668986e+02	1.000000000000000000e+00
2.380682085344648385e+03	1.633701825592686419e+03	1.000000000000000000e+00
4.022581282440568884e+03	1.271023260732450944e+04	1.000000000000000000e+00
1.489155126583099673e+03	7.851181659025647832e+02	1.000000000000000000e+00
2.555412705348800955e+03	1.828866240979905797e+03	1.000000000000000000e+00
4.029979627971556056e+03	1.139982038717085015e+04	1.000000000000000000e+00
1.589450893737672686e+03	8.708441622021136936e+02	1.000000000000000000e+00
2.740272222114087072e+03	2.035886883065687016e+03	1.000000000000000000e+00
4.037089189829232964e+03	1.011656117764866394e+04	1.000000000000000000e+00
1.686946489606041723e+03	9.590095097951151502e+02	1.000000000000000000e+00
2.926544663850825145e+03	2.261457771049284020e+03	1.000000000000000000e+00
4.044514561922557732e+03	8.759066943820862434e+03	1.000000000000000000e+00
1.782454009329907649e+03	1.051049312243293343e+03	1.000000000000000000e+00
3.110283311273746676e+03	2.477973183803452685e+03	1.000000000000000000e+00
4.047679226032907536e+03	8.116649036546732532e+03	1.000000000000000000e+00
4.052666886938129210e+03	7.245132791851716320e+03	1.000000000000000000e+00
1.881315556874805452e+03	1.145349561264034719e+03	1.000000000000000000e+00
3.297264261522890138e+03	2.700127342869214772e+03	1.000000000000000000e+00
4.056242651886743261e+03	6.566053720303217233e+03	1.000000000000000000e+00
4.059862786774629058e+03	5.902256910229328241e+03	1.000000000000000000e+00
1.980594379022630619e+03	1.241329062339525990e+03	1.000000000000000000e+00
3.478032863593895854e+03	2.886043038509058533e+03	1.000000000000000000e+00
4.063978206750233767e+03	5.127923014945783507e+03	1.000000000000000000e+00
4.067436696122703324e+03	4.491976577587464817e+03	1.000000000000000000e+00
2.078641706244160559e+03	1.343483509862530582e+03	1.000000000000000000e+00
3.656294313168275494e+03	3.149232718230898172e+03	1.000000000000000000e+00
4.071321600228381612e+03	3.770400311744259398e+03	1.000000000000000000e+00
4.075005945058652742e+03	3.103896150943006887e+03	1.000000000000000000e+00
2.176330531441399216e+03	1.444613765225460384e+03	1.000000000000000000e+00
3.826501756332399054e+03	3.740037156938132284e+03	1.000000000000000000e+00
4.078142967857884287e+03	2.537758416402036801e+03	1.000000000000000000e+00
4.080898109039239898e+03	2.056691270430289023e+03	1.000000000000000000e+00
4.145460714471088863e+02	7.552380132916290734e+01	1.000000000000000000e+00
2.273079884576456152e+03	1.550544562799400865e+03	1.000000000000000000e+00
3.982729200404858148e+03	5.085864647050876556e+03	1.000000000000000000e+00
4.084285831257137033e+03	1.473771729460575671e+03	1.000000000000000000e+00
4.086248207334163908e+03	1.153376722300207575e+03	1.000000000000000000e+00
2.373292121159036469e+03	1.659291480927085331e+03	1.000000000000000000e+00
4.073870040810235423e+03	2.223040947926032004e+03	1.000000000000000000e+00
4.088986927423959514e+03	7.241723529191338002e+02	1.000000000000000000e+00
4.090519419897747412e+03	5.017041613031572069e+02	1.000000000000000000e+00
2.472035875051904895e+03	1.771267657299654047e+03	1.000000000000000000e+00
4.089475577117720150e+03	5.765601854702953233e+02	1.000000000000000000e+00
4.092073439284231426e+03	2.901457787492851139e+02	1.000000000000000000e+00
4.093005122690231474e+03	1.768444559416845152e+02	1.000000000000000000e+00
2.571853462381916415e+03	1.886374591361073726e+03	1.000000000000000000e+00
4.093562385160386384e+03	1.102839052473744772e+02	1.000000000000000000e+00
4.094337053942178045e+03	4.277768467172425915e+01	1.000000000000000000e+00
4.094630748468804995e+03	2.098250127722831238e+01	1.000000000000000000e+00
2.630979219869199824e+03	1.954765399183773752e+03	1.000000000000000000e+00
4.094557935287553391e+03	2.563337530978513712e+01	1.000000000000000000e+00
