# Pantalla iluminando en azul, ganancia 1, tiempo de integración 30s, temperatura 19°C, distintas intensidades y tiempos de encendido de la pantalla
# esperanza	varianza	color
1.070778192476383310e+03	4.684200740400320910e+02	1.000000000000000000e+00
1.814685225267310216e+03	1.073178080004793173e+03	1.000000000000000000e+00
3.949161334734766115e+03	2.367838530973104935e+04	1.000000000000000000e+00
1.147086087862036720e+03	5.274057678611161464e+02	1.000000000000000000e+00
1.956673754930966425e+03	1.210889044534874301e+03	1.000000000000000000e+00
3.958032461979653363e+03	2.254688945216297725e+04	1.000000000000000000e+00
1.223758687908751199e+03	5.843311341317332790e+02	1.000000000000000000e+00
2.103121494472126869e+03	1.357616643510350059e+03	1.000000000000000000e+00
3.968264614476279348e+03	2.116610266162468179e+04	1.000000000000000000e+00
1.295176376453337525e+03	6.402800278695979159e+02	1.000000000000000000e+00
2.249014729640298810e+03	1.510402737400305568e+03	1.000000000000000000e+00
3.977856262651821908e+03	1.980268057718242926e+04	1.000000000000000000e+00
1.377055243693553393e+03	7.045361298534138541e+02	1.000000000000000000e+00
2.399333826105574644e+03	1.674236608831015701e+03	1.000000000000000000e+00
3.988745130346205769e+03	1.817937204998499874e+04	1.000000000000000000e+00
1.453253088017751452e+03	7.669011601088566294e+02	1.000000000000000000e+00
2.545904725617668646e+03	1.842261983533792773e+03	1.000000000000000000e+00
3.857420771696252359e+03	8.715057787808931607e+03	1.000000000000000000e+00
4.000208611673414453e+03	1.638473583080119715e+04	1.000000000000000000e+00
1.529551371911657952e+03	8.323004025544297519e+02	1.000000000000000000e+00
2.686077243589743375e+03	1.996893775200915115e+03	1.000000000000000000e+00
3.969700355548634889e+03	1.528099172272730539e+04	1.000000000000000000e+00
4.012242307043496112e+03	1.440229001692398197e+04	1.000000000000000000e+00
1.607380838653586579e+03	9.007083539058152155e+02	1.000000000000000000e+00
2.835326557796117413e+03	2.181594317651387428e+03	1.000000000000000000e+00
4.010470368784387119e+03	1.376210193134431756e+04	1.000000000000000000e+00
4.025093560547077686e+03	1.219231293748600910e+04	1.000000000000000000e+00
1.682308160425101278e+03	9.695694650954089866e+02	1.000000000000000000e+00
2.984167700223191332e+03	2.363987623287272527e+03	1.000000000000000000e+00
4.028528032219972829e+03	1.135157894792245679e+04	1.000000000000000000e+00
4.038392312233987468e+03	9.819219812303841536e+03	1.000000000000000000e+00
1.757818481392089780e+03	1.046276120729228523e+03	1.000000000000000000e+00
3.118567189608636909e+03	2.532929526094225821e+03	1.000000000000000000e+00
4.042452754853109127e+03	8.959305044315695341e+03	1.000000000000000000e+00
4.052372850487906362e+03	7.249015908289652543e+03	1.000000000000000000e+00
4.860992532181044226e+02	1.100846981343130153e+02	1.000000000000000000e+00
1.833713708735596356e+03	1.117587308307462308e+03	1.000000000000000000e+00
3.276726096815633809e+03	2.734146220752121735e+03	1.000000000000000000e+00
4.058459647176372982e+03	6.068728694498179721e+03	1.000000000000000000e+00
