# Pantalla iluminando en rojo, ganancia 1, tiempo de integración 30s, temperatura 19°C, distintas intensidades y tiempos de encendido de la pantalla
# esperanza	varianza	color
2.752903748832139286e+02	1.204592676956326613e+01	1.000000000000000000e+00
2.921323312441606959e+02	1.962349818696579007e+01	1.000000000000000000e+00
3.691393471659919214e+02	5.935690788897436221e+01	1.000000000000000000e+00
2.771253098074327568e+02	1.303836712152685173e+01	1.000000000000000000e+00
2.953640026471504143e+02	2.096013027799569883e+01	1.000000000000000000e+00
3.795414496392608612e+02	6.461641425897373381e+01	1.000000000000000000e+00
2.789521258304785647e+02	1.395029844331753210e+01	1.000000000000000000e+00
2.986449960422506251e+02	2.266634119496509925e+01	1.000000000000000000e+00
3.899836548193709405e+02	7.000143823577617752e+01	1.000000000000000000e+00
2.807330728355652241e+02	1.488895796269559035e+01	1.000000000000000000e+00
3.019998416900238567e+02	2.446749776897928186e+01	1.000000000000000000e+00
4.007874993511886146e+02	7.649326543522225563e+01	1.000000000000000000e+00
2.825691172272397012e+02	1.574769413143579655e+01	1.000000000000000000e+00
3.053557637158725129e+02	2.623234522476775865e+01	1.000000000000000000e+00
4.114432478199937577e+02	8.254891248187412600e+01	1.000000000000000000e+00
2.843030834760718335e+02	1.655710976965895753e+01	1.000000000000000000e+00
3.086504496262846260e+02	2.780926307251699114e+01	1.000000000000000000e+00
3.403650277691269821e+02	4.406397197576787761e+01	1.000000000000000000e+00
4.220542639883732932e+02	8.858503489117373420e+01	1.000000000000000000e+00
2.862076475397072386e+02	1.737164555333844262e+01	1.000000000000000000e+00
3.120425623507733803e+02	2.959148979322908346e+01	1.000000000000000000e+00
3.457439647565659584e+02	4.703274996117878715e+01	1.000000000000000000e+00
4.327316308522786130e+02	9.453889360316722446e+01	1.000000000000000000e+00
2.879741558963978036e+02	1.811450064350489342e+01	1.000000000000000000e+00
3.154494530520087210e+02	3.130065856880178643e+01	1.000000000000000000e+00
3.512693907012353520e+02	4.944078800075751445e+01	1.000000000000000000e+00
4.431796419210007230e+02	1.018500775422870674e+02	1.000000000000000000e+00
2.898219009524551097e+02	1.876752843247133384e+01	1.000000000000000000e+00
3.187932867486764508e+02	3.284945534749594032e+01	1.000000000000000000e+00
3.567149830011418885e+02	5.211299478196987423e+01	1.000000000000000000e+00
4.543738211097269755e+02	1.083794476720364628e+02	1.000000000000000000e+00
2.916244342364787485e+02	1.944673453665413376e+01	1.000000000000000000e+00
3.220913977343506645e+02	3.448122557021497414e+01	1.000000000000000000e+00
3.622030536307484567e+02	5.488015437044985134e+01	1.000000000000000000e+00
4.651019094518841257e+02	1.159907615621321213e+02	1.000000000000000000e+00
2.591293541731547521e+02	3.774890694191811669e+00	1.000000000000000000e+00
2.932920004801204072e+02	2.003676319028313912e+01	1.000000000000000000e+00
3.254558788798920546e+02	3.604510253261528874e+01	1.000000000000000000e+00
3.675439287475344941e+02	5.793150935472802132e+01	1.000000000000000000e+00
4.755773493459981296e+02	1.215813159471465781e+02	1.000000000000000000e+00
2.951842877348697129e+02	2.087749214683599774e+01	1.000000000000000000e+00
3.289517709306550159e+02	3.779710397607492212e+01	1.000000000000000000e+00
3.731258327494031164e+02	6.094580611969672646e+01	1.000000000000000000e+00
4.864861822640921787e+02	1.300279207695409411e+02	1.000000000000000000e+00
2.969548767907194247e+02	2.172839087875179231e+01	1.000000000000000000e+00
3.324187188570538751e+02	3.978255887460760221e+01	1.000000000000000000e+00
3.785246087667393340e+02	6.370382059981724154e+01	1.000000000000000000e+00
4.975711457360116015e+02	1.361624218044385373e+02	1.000000000000000000e+00
2.987448808782310721e+02	2.264750701373481689e+01	1.000000000000000000e+00
3.359311854432679070e+02	4.153630155200655594e+01	1.000000000000000000e+00
3.840262538279871478e+02	6.642751489150423083e+01	1.000000000000000000e+00
5.085483546143465219e+02	1.440069586495002625e+02	1.000000000000000000e+00
2.998390208138690127e+02	2.338621393271323257e+01	1.000000000000000000e+00
3.382305622599398021e+02	4.279896395511880769e+01	1.000000000000000000e+00
3.875282917445240400e+02	6.842379471889218223e+01	1.000000000000000000e+00
5.153370539421779313e+02	1.484642743893616910e+02	1.000000000000000000e+00
2.609259203389390791e+02	4.618348560611442721e+00	1.000000000000000000e+00
2.628378665784283044e+02	5.568484631529122986e+00	1.000000000000000000e+00
2.646120688648396140e+02	6.388532519081976169e+00	1.000000000000000000e+00
2.663001245717844654e+02	7.462266152861396051e+00	1.000000000000000000e+00
2.680746262846465129e+02	8.353417604030376253e+00	1.000000000000000000e+00
2.699427621846776901e+02	9.310085129600830456e+00	1.000000000000000000e+00
2.716763258460500197e+02	1.023172970883525146e+01	1.000000000000000000e+00
2.735119858169832696e+02	1.114122779768110938e+01	1.000000000000000000e+00
3.690855285866293229e+02	5.674172689087021126e+01	2.000000000000000000e+00
4.705627546584656784e+02	1.124785964993684644e+02	2.000000000000000000e+00
9.494344307977784183e+02	4.803102567629761666e+02	2.000000000000000000e+00
3.797091128802034632e+02	6.188387613220255901e+01	2.000000000000000000e+00
4.902783958787501319e+02	1.245909115968356531e+02	2.000000000000000000e+00
1.013098987205439585e+03	5.442636632013827693e+02	2.000000000000000000e+00
3.902477891752309915e+02	6.697878563052447021e+01	2.000000000000000000e+00
5.102575288072251851e+02	1.367996883341902503e+02	2.000000000000000000e+00
1.077544526627218829e+03	6.095723049845763626e+02	2.000000000000000000e+00
4.010124912410464049e+02	7.302427982740444179e+01	2.000000000000000000e+00
5.306855957386068212e+02	1.501363337038000623e+02	2.000000000000000000e+00
1.144110634018478095e+03	6.843712134773940079e+02	2.000000000000000000e+00
4.116265902366864111e+02	7.844773944535054966e+01	2.000000000000000000e+00
5.507805921052631675e+02	1.615235687556087214e+02	2.000000000000000000e+00
1.209456318125194684e+03	7.569105081971455320e+02	2.000000000000000000e+00
4.217399804058964037e+02	8.330963664448262307e+01	2.000000000000000000e+00
5.706874380385133918e+02	1.750115593413153476e+02	2.000000000000000000e+00
7.657107913552372338e+02	3.194323226881451205e+02	2.000000000000000000e+00
1.274711262392297385e+03	8.346231702881782439e+02	2.000000000000000000e+00
4.328863791783452939e+02	9.060479150529464221e+01	2.000000000000000000e+00
5.910763196823419321e+02	1.893667461562896790e+02	2.000000000000000000e+00
7.980845427177411011e+02	3.460474169169180527e+02	2.000000000000000000e+00
1.340748856145541367e+03	9.108339779166568633e+02	2.000000000000000000e+00
4.434473304655870720e+02	9.667291366020498344e+01	2.000000000000000000e+00
6.114939332892141692e+02	2.037387621153977193e+02	2.000000000000000000e+00
8.313698344882176343e+02	3.730273727030634063e+02	2.000000000000000000e+00
1.404843797038824960e+03	9.929589342926592508e+02	2.000000000000000000e+00
4.541701069889961673e+02	1.028026934913562656e+02	2.000000000000000000e+00
6.314358692126024835e+02	2.185543788854172362e+02	2.000000000000000000e+00
8.643109048972282835e+02	4.035829022085144970e+02	2.000000000000000000e+00
1.473539835072147753e+03	1.078936799443367363e+03	2.000000000000000000e+00
4.648984405818540608e+02	1.096740678215108602e+02	2.000000000000000000e+00
6.513224676891934450e+02	2.328443341679584364e+02	2.000000000000000000e+00
8.973109399330426186e+02	4.342700722362695842e+02	2.000000000000000000e+00
1.539136118680577283e+03	1.170723382324543309e+03	2.000000000000000000e+00
2.731682267336240102e+02	1.066987952577446563e+01	2.000000000000000000e+00
4.750741062623274047e+02	1.154432148564028608e+02	2.000000000000000000e+00
6.716333742084501637e+02	2.468927129814774730e+02	2.000000000000000000e+00
9.295677962472749414e+02	4.630878819985551331e+02	2.000000000000000000e+00
1.603215679500155602e+03	1.260165178800320518e+03	2.000000000000000000e+00
4.863307643646838869e+02	1.221481591025005571e+02	2.000000000000000000e+00
6.927388832658569982e+02	2.622927888027340941e+02	2.000000000000000000e+00
9.630682916147617334e+02	4.947699914121060374e+02	2.000000000000000000e+00
1.670040914694279991e+03	1.362338840365453052e+03	2.000000000000000000e+00
4.969954369095816560e+02	1.293505481857836799e+02	2.000000000000000000e+00
7.135435047492992453e+02	2.790778209514465971e+02	2.000000000000000000e+00
9.958352148863282309e+02	5.279928947866897033e+02	2.000000000000000000e+00
1.738008455309872261e+03	1.464578739625766502e+03	2.000000000000000000e+00
5.077510919495484245e+02	1.358800644024764779e+02	2.000000000000000000e+00
7.345956588030727517e+02	2.957091283563341904e+02	2.000000000000000000e+00
1.029124639260874119e+03	5.617316063917194242e+02	2.000000000000000000e+00
1.805238187091248847e+03	1.575801071461622996e+03	2.000000000000000000e+00
5.142549919547388981e+02	1.402622648655016633e+02	2.000000000000000000e+00
7.481881604899823515e+02	3.079623617724366227e+02	2.000000000000000000e+00
1.050261091106093545e+03	5.878256797292434612e+02	2.000000000000000000e+00
1.847002578376414476e+03	1.656570570404815953e+03	2.000000000000000000e+00
2.839585260303124414e+02	1.556833012783895676e+01	2.000000000000000000e+00
2.952928358247690426e+02	1.935432036565525493e+01	2.000000000000000000e+00
3.057152392816360589e+02	2.406747226964138164e+01	2.000000000000000000e+00
3.158675493745458311e+02	3.024016244014233834e+01	2.000000000000000000e+00
3.266336074561403393e+02	3.507384491084238931e+01	2.000000000000000000e+00
3.372623751038098021e+02	4.041722251210520511e+01	2.000000000000000000e+00
3.478060488684729421e+02	4.643175062701081401e+01	2.000000000000000000e+00
3.584220060598982514e+02	5.127747606500013688e+01	2.000000000000000000e+00
3.703331815114709684e+02	6.234341367638609910e+01	3.000000000000000000e+00
4.730868498909997015e+02	1.201574686452756993e+02	3.000000000000000000e+00
9.578809674426451011e+02	5.067827296074986521e+02	3.000000000000000000e+00
3.810855564855185094e+02	6.765894286936995172e+01	3.000000000000000000e+00
4.930550727317554447e+02	1.323843991934278677e+02	3.000000000000000000e+00
1.022337517517907145e+03	5.765218839857302555e+02	3.000000000000000000e+00
3.917561306187065497e+02	7.303668741032379330e+01	3.000000000000000000e+00
5.132599800166095747e+02	1.453018312619284131e+02	3.000000000000000000e+00
1.087604212732274391e+03	6.464594254429630382e+02	3.000000000000000000e+00
4.026281470595868086e+02	7.934900447043200700e+01	3.000000000000000000e+00
5.339790566931382045e+02	1.591889808863583369e+02	3.000000000000000000e+00
1.155028212265130378e+03	7.243976728732443462e+02	3.000000000000000000e+00
4.134145590029066852e+02	8.481511107861918219e+01	3.000000000000000000e+00
5.542859558289213737e+02	1.713138705490712823e+02	3.000000000000000000e+00
1.221225478498390885e+03	8.041930109857451043e+02	3.000000000000000000e+00
4.236435446511990222e+02	8.971514444001553557e+01	3.000000000000000000e+00
5.744644133447524155e+02	1.852432757886603838e+02	3.000000000000000000e+00
7.718992502984532393e+02	3.367819447042197680e+02	3.000000000000000000e+00
1.287330625843454754e+03	8.846549993306283568e+02	3.000000000000000000e+00
4.349360151951624402e+02	9.728448783772205388e+01	3.000000000000000000e+00
5.951197027795079748e+02	2.004931264117118985e+02	3.000000000000000000e+00
8.046583083540953112e+02	3.644037956486628218e+02	3.000000000000000000e+00
1.354106338562753081e+03	9.694490338390252191e+02	3.000000000000000000e+00
4.456448260536697035e+02	1.036392344612043672e+02	3.000000000000000000e+00
6.157778615825807265e+02	2.153317653534653573e+02	3.000000000000000000e+00
8.383579236089484539e+02	3.942814025893579810e+02	3.000000000000000000e+00
1.419013799569189132e+03	1.056690492640507046e+03	3.000000000000000000e+00
4.564804522864113210e+02	1.100808367439474438e+02	3.000000000000000000e+00
