# Pantalla iluminando en verde, ganancia 1, tiempo de integración 30s, temperatura 19°C, distintas intensidades y tiempos de encendido de la pantalla
# esperanza	varianza	color
3.097545021021488765e+02	2.831427920943186649e+01	1.000000000000000000e+00
3.597461554681822804e+02	5.290889777926572179e+01	1.000000000000000000e+00
6.025561530026990340e+02	1.924364463939055554e+02	1.000000000000000000e+00
3.147525520995536112e+02	3.067402172954715311e+01	1.000000000000000000e+00
3.694754619537008011e+02	5.842192202006719981e+01	1.000000000000000000e+00
6.347010014403612104e+02	2.138510010214086492e+02	1.000000000000000000e+00
3.197171360816983565e+02	3.306923700455354265e+01	1.000000000000000000e+00
3.794646261548842290e+02	6.325871118978403729e+01	1.000000000000000000e+00
6.676022812208034338e+02	2.356478173850485689e+02	1.000000000000000000e+00
3.246931702870341496e+02	3.531225378064112164e+01	1.000000000000000000e+00
3.889384628360842839e+02	6.767586775027982071e+01	1.000000000000000000e+00
6.999381030701754298e+02	2.577518293249417525e+02	1.000000000000000000e+00
3.297005531116993780e+02	3.810170139654854893e+01	1.000000000000000000e+00
3.985030685534101735e+02	7.314707028396964006e+01	1.000000000000000000e+00
7.319851613593896218e+02	2.815828760075199853e+02	1.000000000000000000e+00
3.347355201520813921e+02	4.070903832917711895e+01	1.000000000000000000e+00
4.082658371613204622e+02	7.847939321395898560e+01	1.000000000000000000e+00
5.025647630540848922e+02	1.314076510961456847e+02	1.000000000000000000e+00
7.644745360998650767e+02	3.047604871394624411e+02	1.000000000000000000e+00
3.397616335124052966e+02	4.367303420229019650e+01	1.000000000000000000e+00
4.179085344648603950e+02	8.333321118657816839e+01	1.000000000000000000e+00
5.182822816100903083e+02	1.408381107446342071e+02	1.000000000000000000e+00
7.975294673907401375e+02	3.307881907666231882e+02	1.000000000000000000e+00
3.447759177436935261e+02	4.584373600309582741e+01	1.000000000000000000e+00
4.272798388352538268e+02	8.815174835978316992e+01	1.000000000000000000e+00
5.341390490371638862e+02	1.515826030404430185e+02	1.000000000000000000e+00
8.300236235466625203e+02	3.546928821206107614e+02	1.000000000000000000e+00
3.497950859026263970e+02	4.838204867423601030e+01	1.000000000000000000e+00
4.373626742058548871e+02	9.408669674927675430e+01	1.000000000000000000e+00
5.492352252673102839e+02	1.589165787850276672e+02	1.000000000000000000e+00
8.617738996159037015e+02	3.810270779052142984e+02	1.000000000000000000e+00
3.549646504853109263e+02	5.078373269926057532e+01	1.000000000000000000e+00
4.468902318203051891e+02	9.955557882744894016e+01	1.000000000000000000e+00
5.654517076715457051e+02	1.693404452827574005e+02	1.000000000000000000e+00
8.945317194150317164e+02	4.091606367988805459e+02	1.000000000000000000e+00
2.644670867720336105e+02	6.448077806313664340e+00	1.000000000000000000e+00
3.598855587563583640e+02	5.338498207126489348e+01	1.000000000000000000e+00
4.562999140324924952e+02	1.050212490842736486e+02	1.000000000000000000e+00
5.809228890921831407e+02	1.803383239302148411e+02	1.000000000000000000e+00
9.277422291861309986e+02	4.352309531227039656e+02	1.000000000000000000e+00
3.648475335435481952e+02	5.578338580515288214e+01	1.000000000000000000e+00
4.662486520943631376e+02	1.111003655725928922e+02	1.000000000000000000e+00
5.970472814803280244e+02	1.915217880004951780e+02	1.000000000000000000e+00
9.609268737672583711e+02	4.669220369358970402e+02	1.000000000000000000e+00
3.699439955751063849e+02	5.839261930476612150e+01	1.000000000000000000e+00
4.759343740267829617e+02	1.162903690854751773e+02	1.000000000000000000e+00
6.123276507188829783e+02	2.018813436854353824e+02	1.000000000000000000e+00
9.934076128282985110e+02	4.944558000978925634e+02	1.000000000000000000e+00
3.748899083878334864e+02	6.102592159443087638e+01	1.000000000000000000e+00
4.855755115877711887e+02	1.218827848422176459e+02	1.000000000000000000e+00
6.286053471789681453e+02	2.114928856737421370e+02	1.000000000000000000e+00
1.026584989748780345e+03	5.265651698184869929e+02	1.000000000000000000e+00
3.777248030857468848e+02	6.264770010331454131e+01	1.000000000000000000e+00
4.915185060469220275e+02	1.255105731288432622e+02	1.000000000000000000e+00
6.375823146994705439e+02	2.188116148487482917e+02	1.000000000000000000e+00
1.045810182445759438e+03	5.475168279590325255e+02	1.000000000000000000e+00
2.694090233442333897e+02	9.011438679435300969e+00	1.000000000000000000e+00
2.747244585669054118e+02	1.165101848669555551e+01	1.000000000000000000e+00
2.798047217248001743e+02	1.447746349634572915e+01	1.000000000000000000e+00
2.850297162099034836e+02	1.679653857045455823e+01	1.000000000000000000e+00
2.900135773512924402e+02	1.857621222202210021e+01	1.000000000000000000e+00
2.948567917575002753e+02	2.071237251108333410e+01	1.000000000000000000e+00
2.997269681693138068e+02	2.300640938347245168e+01	1.000000000000000000e+00
3.046913425853835520e+02	2.572080522668697711e+01	1.000000000000000000e+00
4.958083193838887155e+02	1.139804614506774953e+02	2.000000000000000000e+00
7.198769723865877950e+02	2.277088715249306290e+02	2.000000000000000000e+00
1.810247082295235032e+03	9.351942459378457215e+02	2.000000000000000000e+00
5.183111848593376862e+02	1.246003131061262224e+02	2.000000000000000000e+00
7.635874399849475367e+02	2.508964086713303914e+02	2.000000000000000000e+00
1.955111484934599730e+03	1.046664962952500673e+03	2.000000000000000000e+00
5.407199065062804948e+02	1.358284000561400831e+02	2.000000000000000000e+00
8.081237559041835539e+02	2.746833385169770168e+02	2.000000000000000000e+00
2.103062030909374243e+03	1.163939415557750181e+03	2.000000000000000000e+00
5.630657823367590709e+02	1.459598349389198688e+02	2.000000000000000000e+00
8.504844531817709594e+02	3.000173573050585674e+02	2.000000000000000000e+00
2.248950292938337043e+03	1.287900804083449884e+03	2.000000000000000000e+00
